id,name,class_id
669,Spirurida,27
670,Spongillida,39
671,Squaliformes,43
672,Squamata,115
673,Squatiniformes,43
674,Stauromedusae,132
675,Stemmiulida,40
676,Stenoglossa,52
677,Stenolaemata incertae sedis,134
678,Stephanoberyciformes,1
679,Sterrofustia,130
680,Stichocotylida,138
681,Stolidobranchia,12
682,Stolonoidea,56
683,Stomatopoda,78
684,Stomiiformes,1
685,Stomopneustoida,42
686,Strigeida,138
687,Strigiformes,14
688,Strongylida,27
689,Stygiomysida,78
690,Stylommatophora,52
691,Suberitida,39
692,Sycettida,18
693,Syconosa,18
694,Symbiida,48
695,Synallactida,63
696,Synaptida,63
697,Synbranchiformes,1
698,Syngnathiformes,1
699,Systellommatophora,52
700,Tanaidacea,78
701,Tectibranchiata,52
702,Temnopleuroida,42
703,Tentaculata incertae sedis,136
704,Tentaculitida,35
705,Terebellida,107
706,Terebratulida,117
707,Testudines,115
708,Tethyida,39
709,Tetrabothriidea,25
710,Tetractinellida,39
711,Tetramerocerata,100
712,Tetraodontiformes,1
713,Tetraphyllidea,25
714,Teuthida,24
715,Thalassocalycida,136
716,Thaumatopsylloida,60
717,Thecanephria,51
718,Thecaphora,67
719,Thecata,67
720,Thecideida,117
721,Thecosomata,52
722,Thermosbaenacea,78
723,Thermozodia,82
724,Thielicidaroida,42
725,Thysanoptera,69
726,Thysanura,69
727,Torpediniformes,43
728,Trachomedusae,67
729,Trachycladida,39
730,Trachymedusae,67
731,Trefusiida,45
732,Trepostomatida,134
733,Triadotiaroida,42
734,Trichasteropsida,13
735,Trichinellida,45
736,Trichoptera,69
737,Tricladida,69
738,Trigoniida,15
739,Triplonchida,45
740,Trochida,52
741,Trombidiformes,10
742,Tryblidiida,87
743,Trypanorhyncha,25
744,Tuarangiida,15
745,Tuboidea,56
746,Tylenchida,27
747,Umbraculida,52
748,Unionida,15
749,Valvatida,13
750,Vampyromorpha,24
751,Velatida,13
752,Venerida,15
753,Verongida,39
754,Verongiida,39
755,Verticillitida,39
756,Vestimentifera,3
757,Xiphosurida,81
758,Zeiformes,1
759,Zoantharia,7
760,Zoanthidea,7
761,Zoanthiniaria,7
762,Zosterogrammida,40
