id,name,family_id
680,Acolpenteron,2044
681,Acolpos,3414
682,Acolus,7727
683,Acominia,1055
684,Acompsocephalum,978
685,Aconichthys,833
686,Aconthocepola,1347
687,Acontiactis,846
688,Acontiaster,894
689,Acontiolaimus,1163
690,Acontiophorum,78
691,Acontiophorus,667
692,Acontiostoma,1727
693,Acopauropus,2705
694,Acorania,79
695,Acoridon,1773
696,Acorylus,7203
697,Acoscinopleura,1793
698,Acosta,4131
699,Acostaea,4589
700,Acraspedanthus,846
701,Acratia,81
702,Acratina,786
703,Acratinella,786
704,Acravicula,786
705,Acreichthys,4496
706,Acreichtyes,4496
707,Acremodactyla,111
708,Acremodonta,7546
709,Acremodontina,7546
710,Acrenhydrosoma,1625
711,Acreuciroa,2630
712,Acrhelia,2679
713,Acriaster,567
714,Acricoactis,82
715,Acrilla,2571
716,Acrilloscala,2571
717,Acritagasyllis,7117
718,Acritopaphia,7727
719,Acrobela,972
720,Acrobeles,1334
721,Acrobelesia,2381
722,Acrobelinema,1334
723,Acrobelione,966
724,Acrobeloides,1334
725,Acrobelophis,1334
726,Acrobothrium,4957
727,Acrobothrium,84
728,Acrobrochus,7233
729,Acrobrycon,1423
730,Acrocalanus,5242
731,Acrocephalus,7119
732,Acroceramus,3565
733,Acrochalix,2657
734,Acrocheilus,2005
735,Acrochordium,7854
735,Acrochordium,7854
736,Acrochordonichthys,210
737,Acrochordonoposthia,7628
738,Acrochordum,7428
739,Acrochordus,85
740,Acrocidaris,6108
741,Acrocircus,6108
742,Acrocirrus,86
743,Acrocladia,2414
744,Acrocnida,328
745,Acrocoelum,4240
746,Acrocolpus,1074
747,Acrocoptis,7680
748,Acrocythere,2034
749,Acrodactyla,246
750,Acrogenia,2021
751,Acrograptus,6749
752,Acrohelia,2679
753,Acrokurzia,1550
754,Acrolichanus,246
755,Acrolobus,1334
756,Acrololigo,4055
757,Acroloxus,87
758,Acrolusia,88
759,Acromazus,4846
760,Acromegalomma,6493
761,Acromitoides,1298
762,Acromitus,1298
763,Acromoldavicus,1334
764,Acromyadenium,2106
765,Acromycter,1725
766,Acronitus,1298
767,Acronotella,1298
768,Acronurus,47
769,Acronurus,47
770,Acropeltis,89
771,Acroperus,1550
772,Acrophaedusa,1602
773,Acrophyton,230
774,Acrophytum,90
775,Acropoditius,3658
776,Acropoma,91
777,Acropora,5892
778,Acropora,92
779,Acroporana,5892
780,Acropota,972
781,Acroptychia,4269
782,Acrorbis,5685
783,Acroreia,93
784,Acrorhynchides,5829
784,Acrorhynchides,5829
785,Acrorhynchus,5829
786,Acrorhynchus,3556
787,Acrosalenia,94
788,Acrosaster,2992
789,Acrosmilia,95
790,Acrossocheilus,2005
791,Acrossota,96
792,Acrossula,96
793,Acrostele,3462
794,Acrosterigma,1240
795,Acrostichus,2248
796,Acrostoma,5142
797,Acrostomum,5142
798,Acrostylus,977
799,Acroteriobatus,6394
800,Acroteuthis,4055
801,Acrotiaris,6108
802,Acrotoma,1602
803,Acrotomella,1602
804,Acrotrichis,6204
805,Acrotus,3525
806,Acroukrainicus,1334
807,Acroura,5025
808,Acrovelatus,3658
809,Acrozoanthus,7883
810,Acrumena,1553
811,Acruroteuthis,4055
812,Acrybia,4666
813,Acryptolaria,3772
814,Actäa,7809
815,Actacarus,3123
816,Actaea,7809
817,Actaecia,6669
818,Actaeocina,7406
819,Actaeodes,7809
820,Actaeomorpha,169
821,Actaeon,5674
822,Actaeon,104
823,Actaeonia,3969
824,Actaeonidea,104
825,Actaeonina,104
826,Actaeopyramis,6259
827,Actaletes,6259
828,Actäodius,7809
829,Actapericulum,2767
830,Actarjania,1711
831,Acteis,3754
832,Actenos,5303
833,Acteocina,7406
833,Acteocina,7406
834,Acteodes,7809
835,Acteon,104
836,Acteonemertes,103
837,Acteonia,3969
838,Acteonina,104
839,Acteoniscus,7486
840,Acthelmis,3126
841,Acticola,6957
842,Actidium,6204
843,Actigia,1784
844,Actinacanthus,43
845,Actinacis,106
846,Actinactis,108
847,Actinantha,7814
848,Actinarctus,7178
849,Actinauge,3429
850,Actinca,115
851,Actinea,108
852,Actinecta,4453
853,Actinella,2923
854,Actineria,7292
855,Actinernus,107
856,Actinia,108
857,Actinia,1910
858,Actinicola,5861
859,Actiniloba,120
860,Actinimenes,5176
861,Actiniodes,108
862,Actiniogeton,108
863,Actinioides,108
864,Actinobalanus,557
865,Actinoberyx,905
866,Actinobolus,1247
867,Actinoceras,1247
868,Actinocereus,1247
869,Actinochilina,1247
870,Actinocidaris,1557
871,Actinoclava,4612
872,Actinocleidus,377
873,Actinocletodes,595
874,Actinocucumis,1910
875,Actinocyclus,109
876,Actinocythereis,7430
877,Actinodactyla,110
878,Actinodactylella,110
879,Actinodactylus,110
880,Actinodendron,111
881,Actinodendrum,111
882,Actinodiscus,2289
883,Actinodoris,1534
884,Actinogeton,108
885,Actinogonium,1784
886,Actinoides,108
887,Actinolaimoides,4806
888,Actinolaimus,115
889,Actinoleberis,7430
890,Actinoleuca,4080
891,Actinoloba,120
892,Actinolobopsis,120
893,Actinometra,1709
894,Actinonaias,7664
895,Actinonema,1533
896,Actinonernus,107
897,Actinophyma,5613
898,Actinopora,116
899,Actinoporus,1213
900,Actinoposthia,117
901,Actinopsis,108
902,Actinopsis,5613
903,Actinoptilon,2420
904,Actinoptilum,2420
905,Actinopyga,3414
906,Actinoscyphia,119
907,Actinoscyphiopsis,119
908,Actinoseta,1976
909,Actinostella,108
910,Actinostephanus,111
911,Actinostola,120
912,Actinostoma,2778
913,Actinotaxia,3956
914,Actinothoe,6503
915,Actinothrix,2289
916,Actinotrigonia,7513
917,Actinotrocha,121
918,Actinotrophon,4570
919,Actinotrypa,122
920,Actinotrypella,122
921,Actinotryx,2289
922,Actinozonella,3261
923,Actinula,5989
924,Actiomera,7809
925,Actisecos,123
926,Actita,1223
927,Actites,7809
928,Actitis,6632
929,Actocharis,6957
930,Actoea,7809
931,Actogidiella,944
932,Actonia,6455
933,Actoniscus,2152
934,Actopsyllus,4455
935,Actornithophilus,4331
936,Actuaria,785
937,Actumnus,5634
938,Acuaria,124
939,Aculamprotula,7664
940,Aculeola,2617
941,Aculeonchus,2143
942,Aculeopsis,3805
943,Aculeorhynchus,125
944,Aculonchus,3907
945,Acuminacythere,3907
946,Acuminia,7235
947,Acuminocythere,6592
948,Acuminodeutopus,7652
949,Acunemella,4806
950,Acupipora,2778
951,Acuprisma,2778
952,Acupurpura,4570
953,Acus,7235
954,Acusicola,2581
955,Acusilenchus,7610
956,Acusta,1164
957,Acutangulus,6374
958,Acutiangulata,6374
959,Acuticosta,7664
960,Acuticoxa,4648
961,Acuticylindra,4466
962,Acuticythereis,7430
963,Acuticytheretta,7430
964,Acutidens,5834
965,Acutigebia,7666
966,Acutihumerus,3667
967,Acutiramus,5888
968,Acutiscala,2571
969,Acutiserolis,6713
970,Acutispinula,856
971,Acutitectonica,577
972,Acutomentum,6675
973,Acutomunna,5284
974,Acutoplax,1136
975,Acutuncus,3507
976,Acvocaria,1095
977,Acyphoniscus,7486
978,Acyrogonia,1470
979,Acyrthosiphon,501
980,Acyrtops,3012
981,Acyrtus,3012
982,Adacna,1240
983,Adacnarca,5532
984,Adagnesia,194
985,Adajinoperus,6117
986,Adalaria,4956
987,Adalia,1654
988,Adamas,4815
989,Adamczakellus,4815
990,Adamczakia,4815
991,Adamczakites,4815
992,Adamietta,5142
993,Adamnestia,4475
994,Adamsia,3429
995,Adamsia,4570
996,Adamsiella,406
997,Adamussium,5368
998,Adanaclava,1598
999,Adasius,6817
1000,Adaugammarus,7626
1001,Adclarkia,1164
1002,Addisonia,128
1003,Adeditia,2438
1004,Adelacerithium,4779
1005,Adelactaeon,274
1006,Adelascopora,4421
1007,Adelasterias,664
1008,Adelatelecrinus,695
1009,Adelcidaris,1557
1010,Adeleana,2908
1011,Adelieledone,4267
1012,Adeliella,129
1013,Adelina,4122
1014,Adelinella,4122
1015,Adelobolus,6397
1016,Adelobothrium,1336
1017,Adelodonta,4287
1018,Adelodriloides,4639
1019,Adelodrilus,4639
1020,Adelogorgia,3047
1021,Adelograptus,400
1022,Adelomelon,7779
1023,Adelometra,437
1024,Adelomorpha,658
1025,Adelomyllos,530
1026,Adelopneustes,4725
1027,Adelopoda,6413
1028,Adelopoma,2251
1029,Adelopora,7072
1029,Adelopora,7072
1030,Adeloposthia,1469
1031,Adeloscia,5541
1032,Adelosebastes,6675
1033,Adelostoma,658
1034,Adelotremus,937
