id,name,order_id
783,Baidiostracidae,9
784,Baikalogammaridae,23
785,Bairdiidae,550
786,Bairdiocopina incertae sedis,550
787,Bairdiocyprididae,550
788,Bakevelliidae,492
789,Balaenanemertidae,562
790,Balaenidae,137
791,Balaenophilidae,320
792,Balaenopteridae,137
793,Balanadae,137
794,Balanidae,635
795,Balanobothriidae,713
796,Balcanellidae,23
797,Balellidae,35
798,Balistidae,712
799,Balitoridae,206
800,Ballianiidae,737
801,Balloniscidae,354
802,Ballophilidae,291
803,Banjosidae,507
804,Barbouriidae,216
805,Barbourisiidae,138
806,Barbuccidae,206
807,Barcinidae,377
808,Barentiidae,377
809,Barentsiidae,377
810,Barleeidae,390
811,Barleeiidae,390
812,Barybrotidae,354
813,Barychelidae,51
814,Barychilinidae,51
815,Baseodiscidae,326
816,Basiliolidae,606
817,Basipodellidae,606
818,Basserolidae,354
819,Basterotiidae,282
820,Bastianiidae,739
821,Bateidae,23
822,Bathanaliidae,23
823,Bathocyroidae,391
824,Bathothaumatidae,472
825,Bathyalozoidae,190
826,Bathyalozoontidae,190
827,Bathybelidae,41
828,Bathyclupeidae,507
829,Bathycotylidae,530
830,Bathycrinidae,172
831,Bathyctenidae,204
832,Bathydorididae,468
833,Bathydraconidae,507
834,Bathyhedylidae,
835,Bathylaconidae,490
836,Bathylagidae,62
837,Bathylasmatidae,635
838,Bathylutichthyidae,626
839,Bathylutichtyidae,626
840,Bathymasteridae,507
841,Bathynataliidae,354
842,Bathynellidae,89
843,Bathyodontidae,426
844,Bathypalaemonellidae,216
845,Bathypeltidae,165
846,Bathyphelliidae,8
847,Bathyphytophilidae,370
848,Bathypolypodidae,470
849,Bathypontiidae,107
850,Bathyporeiidae,23
851,Bathypteroidae,436
852,Bathysauridae,84
853,Bathysauroididae,84
854,Bathysauropsidae,84
855,Bathysciadiidae,165
856,Bathyspinulidae,466
857,Bathysquillidae,683
858,Bathyteuthidae,1
859,Bathytropidae,354
860,Batillariidae,354
861,Batillipedidae,67
862,Batoporidae,145
863,Batostomellidae,732
864,Batoteuthidae,472
865,Batrachoididae,90
866,Batrachotrematidae,530
867,Bdellidae,741
868,Bdellonemertea,427
869,Bdellouridae,737
870,Beaniidae,145
871,Bedotiidae,81
872,Beecherellidae,81
873,Behningiellidae,23
874,Beichuaniidae,407
875,Bellerophinidae,390
876,Bellerophontidae,390
877,Belliidae,216
878,Bellolividae,456
879,Belluloporidae,145
880,Belomitridae,456
881,Belondiridae,244
882,Belonidae,91
883,Belonolaimidae,596
884,Belontiidae,507
885,Belugidae,137
886,Bembiciidae,390
887,Bembridae,626
888,Benedeniporidae,190
889,Benedictiidae,390
890,Benthesicymidae,216
891,Bentheuphausiidae,269
892,Benthimermithidae,92
893,Benthobiidae,456
894,Benthopectinidae,464
895,Beornidae,498
896,Berendinellidae,498
897,Bereniceidae,203
898,Berenicidae,377
899,Bergiidae,759
900,Bernardinidae,752
901,Beroidae,93
902,Berounellidae,550
903,Bertiliellidae,597
904,Bertiniidae,597
905,Berycidae,94
906,Berytoniscidae,354
907,Beticosomatidae,155
908,Beyrichiidae,155
909,Beyrichiopsidae,155
910,Bhaleraoiidae,530
911,Biancolinidae,23
912,Bibionidae,239
913,Bicellariellidae,145
914,Bicirronematidae,596
915,Bicorniferidae,145
916,Bicotylophoridae,406
917,Biemnidae,95
918,Bifaxariidae,145
919,Bilingulidae,666
920,Bimeridae,35
921,Bimuroporidae,732
922,Binneyidae,690
923,Biokoviellidae,155
924,Bipaliidae,737
925,Biporidae,145
926,Biporidae,530
927,Bisilvestriidae,354
928,Bitectiporidae,145
929,Bithyniidae,390
930,Bittiidae,390
931,Bivesiculidae,530
932,Biwadrilidae,319
933,Blackfordiidae,377
934,Blaniulidae,356
935,Blastidae,216
936,Blattidae,97
937,Blenniidae,507
938,Blepharipodidae,216
939,Bodonematidae,50
940,Bodotriidae,193
941,Bodzentiidae,193
942,Boeromedusidae,35
943,Boettgerillidae,690
944,Bogidiellidae,23
945,Bogueidae,23
946,Bohadschiidae,339
947,Bohadschiidae,339
948,Bohaispiridae,390
949,Boholinidae,107
950,Boidae,672
951,Bolaniidae,59
952,Bolbinidae,59
953,Bolbocephalodidae,238
954,Bolbozoidae,238
955,Bolinidae,391
956,Bolinopsidae,391
957,Bolitaenidae,470
958,Bolliidae,470
959,Boloceroididae,8
960,Bolttsiidae,23
961,Bomolochidae,200
962,Bonaducecytheridae,550
963,Bonelliidae,254
964,Boniniidae,554
965,Bonneviellidae,377
966,Bopyridae,354
967,Bopyroidea incertae sedis,354
968,Borboridae,239
969,Boreohydridae,35
970,Boreomysidae,441
971,Bornellidae,468
972,Borsoniidae,456
973,Boselliidae,456
974,Bosminidae,32
975,Bothidae,544
976,Bothitrematidae,309
977,Bothriembryontidae,690
978,Bothriocephalidae,99
979,Bothriocephalidea incertae sedis,99
980,Bothriocidaridae,99
981,Bothrioplanidae,100
982,Botrucnidiferidae,667
983,Botryllidae,681
984,Botryllophilidae,200
985,Botrylloporidae,212
986,Botulidae,530
987,Botulisaccidae,530
988,Bouchardiidae,706
989,Bouchetispiridae,456
990,Bougainvilleae,35
991,Bougainvilliidae,35
992,Bougisidae,23
993,Bourgueticrinidae,172
994,Bovichtidae,507
995,Bovidae,68
996,Brachaeluridae,487
997,Brachionichthyidae,392
998,Brachionidae,546
999,Brachioteuthidae,472
1000,Brachycentridae,736
1001,Brachyceridae,167
1002,Brachychaeteumatidae,155
1003,Brachychthoniidae,616
1004,Brachycladiidae,530
1005,Brachycoeliidae,530
1006,Brachylaimidae,238
1007,Brachylepadidae,635
1008,Brachyonichtyidae,392
1009,Brachypauropodidae,711
1010,Brachyscelidae,23
1011,Brachytrematidae,23
1012,Braconidae,346
1013,Bradophilidae,200
1014,Bradoriidae,200
1015,Bradybaenidae,690
1016,Bramidae,507
1017,Branchinectidae,33
1018,Branchiobdellidae,473
1019,Branchiocerianthidae,35
1020,Branchiostomatidae,35
1021,Branchiostomidae,35
1022,Branchipidae,33
1023,Branchipidae,33
1024,Branchipiens,33
1025,Branchipodidae,33
1026,Branchipusidae,33
1027,Branchipusidae,33
1028,Brankocleistostomidae,216
1029,Branneriidae,155
1030,Brasileirinidae,354
1031,Brauninidae,238
1032,Brechitinae,238
1033,Bregmacerotidae,280
1034,Bresiliidae,216
1035,Bresilioidea incertae sedis,216
1036,Brevibuccidae,596
1037,Briareidae,16
1038,Brinkmanniidae,562
1039,Brisingidae,103
1040,Brissidae,651
1041,Brissopsidae,651
1042,Broelemanneumatidae,155
1043,Brusiniidae,216
1044,Brychiopontiidae,645
1045,Bryconidae,142
1046,Brydonellidae,145
1047,Bryobaculidae,145
1048,Bryocryptellidae,145
1049,Bryopastoridae,145
1050,Bryopinae,145
1051,Bubaridae,104
1052,Bubnoffiopsidae,104
1053,Bucanellidae,104
1054,Bucaniidae,104
1055,Buccinidae,456
1056,Buccinulidae,456
1057,Bucephalidae,530
1058,Bucerotidae,175
1059,Buchiidae,501
1060,Buchiolidae,209
1061,Buchotrigoniidae,738
1062,Buddelundiellidae,354
1063,Buergeriellidae,562
1064,Buffonellodidae,145
1065,Bufinidae,145
1066,Bufonidae,39
1067,Bugulidae,145
1068,Bulimorphidae,145
1069,Bulimulidae,690
1070,Bulinidae,690
1071,Bullactidae,130
1072,Bullaeidae,130
1073,Bullariidae,130
1074,Bullidae,130
1075,Bullinidae,130
1076,Bunocotylidae,530
1077,Bunonematidae,596
1078,Buproridae,200
1079,Buregiidae,
1080,Bureniidae,565
1081,Burhinidae,143
1082,Burmesiidae,143
1083,Burnupiidae,143
1084,Bursidae,390
1085,Buskiidae,190
1086,Busyconidae,456
1087,Buthidae,627
1088,Bychowskicotylidae,406
